Title,Body,Labels,Assignees,Milestone
"Write a high-quality book that shows how ChatGPT can help in all the steps of SDLC, from requirements to feedback and iteration, using a fun project of a USB T-Shirt launcher that can fire nerf darts using the pan and tilt of the turret and OpenCV face recognition.","Write a high-quality book that shows how ChatGPT can help in all the steps of SDLC, from requirements to feedback and iteration, using a fun project of a USB T-Shirt launcher that can fire nerf darts using the pan and tilt of the turret and OpenCV face recognition.","Book,Objective,Level 0",,
"Inspire at least 10 people from underrepresented communities in Python Programming such as women, People of Color, Dalits, and Muslims to get salaried jobs as Python developers.","Inspire at least 10 people from underrepresented communities in Python Programming such as women, People of Color, Dalits, and Muslims to get salaried jobs as Python developers.","Book,Key Result 1,Level 0",,
"Achieve a net profit of at least $100,000 from book sales within one year of publication.","Achieve a net profit of at least $100,000 from book sales within one year of publication.","Book,Key Result 2,Level 0",,
Receive an average rating of 4.5 stars or higher from at least 500 verified readers on Amazon within six months of publication.,Receive an average rating of 4.5 stars or higher from at least 500 verified readers on Amazon within six months of publication.,"Book,Key Result 3,Level 0",,
"Increase the productivity of at least 1,000 developers who use ChatGPT in their workflow by 10 times or more, as measured by a survey or feedback form within one year of publication.","Increase the productivity of at least 1,000 developers who use ChatGPT in their workflow by 10 times or more, as measured by a survey or feedback form within one year of publication.","Book,Key Result 4,Level 0",,
"Inspire at least 500 readers to build their own USB T-Shirt launcher projects using ChatGPT and OpenCV, as evidenced by their photos or videos shared on social media or online forums within one year of publication.","Inspire at least 500 readers to build their own USB T-Shirt launcher projects using ChatGPT and OpenCV, as evidenced by their photos or videos shared on social media or online forums within one year of publication.","Book,Key Result 5,Level 0",,
"Use ChatGPT to generate three examples of how ChatGPT can be used to elicit, analyze, validate, and document the requirements from different stakeholders, such as the users, the developers, and the testers.","Use ChatGPT to generate three examples of how ChatGPT can be used to elicit, analyze, validate, and document the requirements from different stakeholders, such as the users, the developers, and the testers.","Chapter Requirements,Key Result 1,Level 1",,Chapter - Requirements Completion
"Use ChatGPT to provide at least two exercises for the readers to practice using ChatGPT to generate user stories, acceptance criteria, use cases, and scenarios for the USB T-Shirt launcher project.","Use ChatGPT to provide at least two exercises for the readers to practice using ChatGPT to generate user stories, acceptance criteria, use cases, and scenarios for the USB T-Shirt launcher project.","Chapter Requirements,Key Result 2,Level 1",,Chapter - Requirements Completion
"Provide at least three examples of how ChatGPT can be used to generate and evaluate different design and architecture options for the USB T-Shirt launcher project, such as class diagrams, sequence diagrams, component diagrams, and deployment diagrams.","Provide at least three examples of how ChatGPT can be used to generate and evaluate different design and architecture options for the USB T-Shirt launcher project, such as class diagrams, sequence diagrams, component diagrams, and deployment diagrams.","Chapter Design and Architecture,Key Result 1,Level 1",,Chapter - Design and Architecture Completion
"Provide at least two exercises for the readers to practice using ChatGPT to create and modify the design and architecture of the USB T-Shirt launcher project, based on the requirements and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to create and modify the design and architecture of the USB T-Shirt launcher project, based on the requirements and feedback.","Chapter Design and Architecture,Key Result 2,Level 1",,Chapter - Design and Architecture Completion
Ensure that the design and architecture for the USB T-Shirt project satisfies the requirements.,Ensure that the design and architecture for the USB T-Shirt project satisfies the requirements.,"Chapter Design and Architecture,Key Result 3,Level 1",,Chapter - Design and Architecture Completion
